,node_number,Orbit_type_I,Orbit_type_II,two_Orbit_type
0,0,19,22,1922
1,1,15,19,1519
2,2,15,19,1519
3,3,15,19,1519
4,4,22,19,1922
5,5,15,19,1519
6,6,19,16,1619
7,7,18,20,1820
8,8,15,18,1518
9,9,18,15,1518
10,10,18,15,1518
11,11,15,19,1519
12,12,22,20,2022
13,13,22,19,1922
14,14,15,19,1519
15,15,19,15,1519
16,16,18,16,1618
17,17,18,15,1518
18,18,18,19,1819
19,19,18,15,1518
20,20,15,19,1519
21,21,18,15,1518
22,22,15,19,1519
23,23,22,19,1922
24,24,18,15,1518
25,25,15,22,1522
26,26,16,18,1618
27,27,18,15,1518
28,28,15,19,1519
29,29,22,19,1922
30,30,18,15,1518
31,31,18,15,1518
32,32,15,19,1519
33,33,15,19,1519
34,34,22,19,1922
35,35,16,20,1620
36,36,15,19,1519
37,37,22,19,1922
38,38,15,18,1518
39,39,19,18,1819
40,40,19,15,1519
41,41,22,19,1922
42,42,15,19,1519
43,43,18,15,1518
44,44,18,15,1518
45,45,22,19,1922
46,46,22,19,1922
47,47,21,16,1621
48,48,19,15,1519
49,49,22,20,2022
50,50,15,19,1519
51,51,22,19,1922
52,52,22,19,1922
53,53,19,15,1519
54,54,15,18,1518
55,55,15,19,1519
56,56,22,19,1922
57,57,19,15,1519
58,58,16,21,1621
59,59,15,18,1518
60,60,22,20,2022
61,61,19,22,1922
62,62,22,19,1922
63,63,15,19,1519
64,64,15,19,1519
65,65,19,18,1819
66,66,15,19,1519
67,67,19,15,1519
68,68,15,19,1519
69,69,19,15,1519
70,70,19,15,1519
71,71,15,19,1519
72,72,22,19,1922
73,73,15,19,1519
74,74,18,15,1518
75,75,19,18,1819
76,76,19,15,1519
77,77,15,19,1519
78,78,15,19,1519
79,79,19,18,1819
80,80,22,19,1922
81,81,18,15,1518
82,82,22,19,1922
83,83,19,15,1519
84,84,18,19,1819
85,85,15,19,1519
86,86,22,19,1922
87,87,22,19,1922
88,88,22,19,1922
89,89,15,19,1519
90,90,15,19,1519
91,91,15,19,1519
92,92,18,19,1819
93,93,15,18,1518
94,94,15,19,1519
95,95,19,22,1922
96,96,22,19,1922
97,97,22,19,1922
98,98,15,19,1519
99,99,19,22,1922
100,100,18,19,1819
101,101,16,18,1618
102,102,15,19,1519
103,103,15,18,1518
104,104,15,22,1522
105,105,22,19,1922
106,106,19,15,1519
107,107,18,19,1819
108,108,15,16,1516
109,109,15,19,1519
110,110,19,15,1519
111,111,19,18,1819
112,112,18,16,1618
113,113,18,15,1518
114,114,19,18,1819
115,115,22,19,1922
116,116,16,21,1621
117,117,20,19,1920
118,118,22,19,1922
119,119,22,19,1922
120,120,15,19,1519
121,121,22,15,1522
122,122,19,15,1519
123,123,22,19,1922
124,124,18,16,1618
125,125,22,19,1922
126,126,18,15,1518
127,127,15,18,1518
128,128,22,19,1922
129,129,19,22,1922
130,130,19,18,1819
131,131,19,18,1819
132,132,19,16,1619
133,133,15,22,1522
134,134,15,19,1519
135,135,19,22,1922
136,136,16,18,1618
137,137,19,22,1922
138,138,18,15,1518
139,139,22,19,1922
140,140,19,22,1922
141,141,22,19,1922
142,142,19,15,1519
143,143,18,19,1819
144,144,19,18,1819
145,145,18,15,1518
146,146,22,19,1922
147,147,22,19,1922
148,148,18,15,1518
149,149,19,22,1922
150,150,19,18,1819
151,151,22,19,1922
152,152,16,18,1618
153,153,15,19,1519
154,154,19,15,1519
155,155,19,22,1922
156,156,22,19,1922
157,157,18,15,1518
158,158,19,15,1519
159,159,18,15,1518
160,160,22,19,1922
161,161,15,19,1519
162,162,19,15,1519
163,163,19,15,1519
164,164,19,22,1922
165,165,22,19,1922
166,166,15,19,1519
167,167,19,18,1819
168,168,19,16,1619
169,169,19,15,1519
170,170,18,19,1819
171,171,18,19,1819
172,172,22,19,1922
173,173,15,19,1519
174,174,15,18,1518
175,175,19,15,1519
176,176,19,18,1819
177,177,15,19,1519
178,178,15,19,1519
179,179,18,15,1518
180,180,18,19,1819
181,181,18,15,1518
182,182,19,15,1519
183,183,18,19,1819
184,184,18,15,1518
185,185,22,19,1922
186,186,22,19,1922
187,187,22,19,1922
188,188,15,22,1522
189,189,22,19,1922
190,190,15,19,1519
191,191,19,22,1922
192,192,18,19,1819
193,193,18,15,1518
194,194,18,19,1819
195,195,22,19,1922
196,196,19,18,1819
197,197,15,19,1519
198,198,18,19,1819
199,199,22,19,1922
200,200,19,22,1922
201,201,18,19,1819
202,202,18,19,1819
203,203,22,19,1922
204,204,19,18,1819
205,205,22,19,1922
206,206,19,22,1922
207,207,19,22,1922
208,208,15,19,1519
209,209,19,15,1519
210,210,19,16,1619
211,211,18,15,1518
212,212,22,20,2022
213,213,19,15,1519
214,214,15,22,1522
215,215,18,19,1819
216,216,19,22,1922
217,217,15,19,1519
218,218,19,22,1922
219,219,19,15,1519
220,220,18,19,1819
221,221,15,18,1518
222,222,15,18,1518
223,223,19,15,1519
224,224,22,19,1922
225,225,19,15,1519
226,226,19,15,1519
227,227,15,18,1518
228,228,15,19,1519
229,229,15,18,1518
230,230,19,22,1922
231,231,19,18,1819
232,232,18,19,1819
233,233,15,19,1519
234,234,19,15,1519
235,235,22,19,1922
236,236,19,15,1519
237,237,18,15,1518
238,238,15,19,1519
239,239,22,19,1922
240,240,15,18,1518
241,241,22,19,1922
242,242,19,16,1619
243,243,22,19,1922
244,244,15,19,1519
245,245,18,15,1518
246,246,19,15,1519
247,247,19,18,1819
248,248,19,18,1819
249,249,19,22,1922
250,250,15,18,1518
251,251,15,19,1519
252,252,19,18,1819
253,253,19,22,1922
254,254,15,18,1518
255,255,15,18,1518
256,256,15,19,1519
